complain_id|driver_id|route_id|connection_id|topic_id|comment|severity|complain_datetime
28|1|34|1|1|I'm writing to express my frustration with the Finance department after completing route 34, which took an exhausting 23.64 hours. While I managed to deliver on time, the stress level during the trip was through the roof, sitting at about 11.92 out of 10. The real kicker, though, is the issues I've faced with the reimbursement for my expenses. Despite submitting all the necessary paperwork promptly, I’ve yet to see any compensation, and it’s been weeks. This delay is causing unnecessary financial strain, and it feels like the Finance department is completely out of touch with the reality we drivers face on the road. I need this sorted out ASAP, as it’s becoming a significant headache on top of an already stressful job.|1|2024-11-08 01:57:02
29|1|33|1|1|I just wrapped up route 33, which took me a grueling 29 hours, and while I managed to deliver on time, I can't shake off the frustration I experienced with the Human Resources department. You see, my stress level was through the roof at a solid 10.6 out of 10, mostly because of the lack of support and communication from HR regarding my recent pay discrepancies and the absence of clear guidelines on how to handle them. It feels like I'm just another number to them, and when I reached out for help, the responses were either vague or took way too long, adding unnecessary stress to an already tough trip. I believe that HR really needs to step up their game to support drivers like me who are out here putting in the hours and effort.|1|2024-11-10 16:55:16
30|1|45|1|1|I just wrapped up route 45, and honestly, I need to voice some serious concerns about the Operations department because this trip was a nightmare despite the delivery being on time. First off, the route they planned had me hitting way too many construction zones, which not only added unnecessary stress but also extended my driving time to over 15 hours, leaving me exhausted. The communication from the Ops team was almost non-existent; I had no updates about potential delays or alternate routes, which is frustrating when you're out there grinding and trying to keep everything on schedule. To top it off, the load was poorly balanced, making the trailer hard to handle and increasing my stress to nearly a 10 out of 10! I know we can do better, and I hope someone takes a hard look at these planning issues before the next driver has to deal with this.|1|2024-11-12 16:19:54
31|1|29|1|1|I just wrapped up route 29, and while the delivery was on time and I didn’t run into any serious issues, I need to bring up some frustrating problems I had with the Finance department. It’s been way too long trying to sort out my reimbursement for fuel expenses, and the lack of communication has been driving me up the wall. I submitted my receipts over two weeks ago, and every time I reach out, I’m either met with vague answers or no response at all. It's really stressful to deal with, especially when I’m trying to focus on driving and getting my job done. I’d appreciate it if someone could look into this and get back to me with a solid update. Thanks.|1|2024-11-14 21:44:48
32|1|33|1|1|I just wrapped up route 33, and I gotta say, I'm pretty frustrated with how the Operations department handled things on this trip. While I did manage to deliver on time, the route planning was way off, leading to unnecessary stress and delays that made the whole experience feel like a circus. The directions I received were often unclear, and I had to deal with unexpected road closures that should've been flagged before I hit the road. It’s like no one’s communicating properly, and it forced me to waste time and energy on issues that could've easily been avoided. I mean, a stress level of 7.39 out of 10 during a trip is not what I signed up for, and it really makes me question the efficiency of our operations team.|1|2024-11-17 07:48:50
33|1|46|1|1|I just wrapped up route 46, and honestly, I need to voice my frustrations about the Operations department. First off, the delivery was late, which is just unacceptable and reflects poorly on all of us. To make matters worse, I faced an assault during the trip, which cranked my stress level up to a staggering 11.39 out of 10. I shouldn't have to worry about my safety while doing my job, and the lack of support from the Operations team during such a critical moment is alarming. The overall trouble score for this trip was an 8.08 out of 10, and I feel like we need to seriously address these issues to ensure drivers like me don't have to deal with this kind of nonsense again.|1|2024-11-25 13:38:16
34|1|50|1|1|I'm writing to express my frustration with the HR department regarding my recent experience on route 50, which took an exhausting 31.5 hours and ended late despite my best efforts. The lack of communication about last-minute changes to my delivery schedule added unnecessary stress, pushing my stress level to almost a 10. I expected better support from HR in terms of resolving these issues quickly and efficiently, but it felt like I was left hanging. I really need HR to step up and provide clearer guidelines and better support for drivers like me who are just trying to do our job and meet deadlines. It's disappointing, and I hope this feedback helps improve things moving forward.|1|2024-12-03 16:03:33
35|1|34|1|1|I just wrapped up route 34, which took me almost 19 and a quarter hours, and while I managed to deliver on time, I need to bring up some serious issues with the Operations department. First off, the communication was a total mess; I didn’t receive any updates about the route changes until I was already on the road, which made for a stressful journey—my stress level hit a 7.6 out of 10! On top of that, the load was poorly documented; I had to make an extra stop to sort out discrepancies with the paperwork, wasting valuable time. I get that things can get hectic, but these kinds of oversights put a lot of unnecessary pressure on us drivers and affect our performance. We need better coordination and clearer communication to make these runs smoother.|1|2024-12-06 04:30:10
36|1|33|1|1|I just wrapped up route 33, which took me a solid 25 hours and change, and while I managed to deliver on time, I have some serious bones to pick with the Finance department. First off, my expense reimbursements from the last trip are still not processed, and it’s really frustrating because I’ve had to front a lot of costs out of my own pocket. On top of that, the pay for this route was way off—I'm not sure what kind of math they’re using over there, but it doesn’t add up! I get that the job can be stressful (I rated my trip at about a 7.5 out of 10), but the finance issues are just adding unnecessary headaches to an already challenging job. Can someone please look into this?|1|2024-12-12 07:26:57
37|1|1|1|1|I need to raise some serious concerns about the Finance department after my latest trip, which took over 10 hours and ended up being late despite my best efforts. Not only did I have to deal with the stress of a tough route that pushed my stress level to a staggering 10.4 out of 10, but I also faced an assault during the delivery, which left me shaken and on edge. To top it all off, the lack of proper financial support and communication from the Finance team made everything worse; I felt completely unsupported when I needed assistance the most. The overall trouble score for this trip was an 8.1 out of 10, and I can’t help but feel that the finance guys are dropping the ball when it comes to driver safety and support.|1|2025-01-28 20:53:27
38|1|17|1|1|I just wrapped up route 17, and I need to voice my frustration with the Finance department. Everything went smoothly on the road, and I delivered on time, but I’ve been dealing with some serious discrepancies in my pay that just don’t add up. I put in over 10 and a half hours on this trip, and I feel like I'm getting short-changed on my compensation. The stress level was through the roof, sitting at a 9, because I’m constantly worried about my paycheck reflecting the time and effort I put in. I really need someone to look into this and get it sorted out, because it’s affecting my peace of mind and my ability to focus on the job.|1|2025-01-30 08:11:18
39|1|28|1|1|I’m writing to express my frustration with the Human Resources department after completing my recent route 28, which took a grueling 20.4 hours. While I managed to deliver on time, the lack of support and communication from HR has been seriously lacking. I’ve been dealing with unresolved issues regarding my pay and benefits for weeks now, and every time I reach out, it feels like I’m hitting a brick wall. It’s incredibly stressful to know that I’m driving long hours with uncertainty hanging over my head, and I expected better support from a company that values its drivers. Can we please get some clarity and responsiveness from HR? It’s really affecting my morale and overall job satisfaction.|1|2025-02-02 00:31:15
40|1|33|1|1|I just wrapped up Route 33, which took me over 22 hours to complete, and I need to address some frustrating issues with the Finance department. Despite delivering on time and keeping my stress level relatively manageable at around 7, I encountered serious discrepancies with my pay for this trip. The figures they provided don’t match my expectations based on the mileage and hours worked, and I can’t understand why there’s a gap; it feels like I’m getting shortchanged for the hard work I put in. I’ve tried reaching out for clarification, but the responses have been slow and unhelpful. It’s really frustrating to deal with this when I’m just trying to do my job and get paid fairly for it.|1|2025-02-04 12:02:08
41|3|13|1|1|I just wrapped up route 13, and I’ve got to say, this trip was a nightmare. First off, I didn’t deliver on time, which is already a huge problem, but what really pushed my stress through the roof (11/10, if I’m being honest) was the assault I experienced along the way. The Operations department needs to get their act together because this route was poorly planned, leaving me exposed and in dangerous situations. My overall trouble score for this trip is an 8 out of 10, and I’m honestly fed up with the lack of support and communication from the team. It’s time to step up and address these issues before someone gets seriously hurt.|1|2024-01-31 23:11:00
42|3|18|1|1|I’m writing to voice my frustration with the Finance department regarding my recent trip on route 18, which took me a grueling 21.37 hours to complete. While I managed to deliver on time, the stress level during the trip was through the roof—almost a 10.5 out of 10! The main issue is that my reimbursements for fuel and tolls have not been processed in a timely manner, leaving me in a bind financially. I’ve reached out multiple times, but it feels like I'm just getting the runaround. It's incredibly disheartening to work hard on the road and then have to chase down my own money. Please sort this out!|1|2024-02-01 20:54:49
43|3|2|1|1|I just wrapped up route 2, which took me about 8.74 hours, and while the delivery went smoothly and was on time, I’ve got some serious beef with the Finance department. I've noticed discrepancies in my pay for this trip that don’t add up, and it’s really frustrating—especially when you’re out there putting in the hours and dealing with the stress of the road. I shouldn’t have to worry about whether my hard work is being compensated correctly; it’s putting unnecessary pressure on me when I already have a stress level of 8 out of 10. Can someone please look into this and get back to me? It's not cool to leave drivers in the dark about their earnings.|1|2024-02-02 06:54:49
44|3|14|1|1|I just wrapped up Route 14, and I need to address some serious issues with the Finance department that have been bugging me. While I managed to deliver on time after a grueling 17.63-hour trip, I’ve noticed discrepancies in my pay for this haul that don’t make sense given the hours and effort I put in. I’m not sure if it's a miscommunication or a clerical error, but it’s really frustrating to see my hard work not reflected in my paycheck, especially when my stress level during the trip was already sitting at a 7 out of 10. I’d appreciate it if someone could look into this ASAP because it’s really starting to get to me.|1|2024-02-03 10:02:57
45|3|13|1|1|I’m writing to express my deep frustration with the Human Resources department regarding my recent experience on route 13, which took a grueling 14.5 hours and ended with a late delivery. Not only was the stress level off the charts at a 10.6 out of 10, but I also faced an assault during the trip that left me shaken and feeling unsafe. I expected better support and communication from HR, especially considering the overall trouble score of 8.1 out of 10 that I experienced. It’s unacceptable that I had to deal with such high levels of stress and danger without proper backup or a clear line of communication. I hope you take this seriously and address these issues to prevent them from happening to other drivers in the future.|1|2024-02-17 15:43:25
46|3|14|1|1|I just wrapped up route 14, which took me a grueling 20.88 hours, and while I managed to deliver on time and didn't face any major issues, I have to say I'm pretty frustrated with the Finance department. First off, the mileage reimbursement was way off; I calculated my expenses but the figures in the system don’t match up at all, and it feels like I’m constantly having to chase down my paychecks. The stress level during this trip was through the roof, hitting a 9.5 out of 10, and it's only made worse by the fact that I can't get a clear answer from Finance about my payments. It’s exhausting trying to do my job while also dealing with this unnecessary hassle. Can we please get this sorted out?|1|2024-02-21 15:35:40
47|3|14|1|1|I just wrapped up Route 14, and while I managed to deliver on time, I really need to voice some frustrations with the Operations department. The trip took nearly 16 hours, which is quite draining, and throughout the drive, I dealt with a ton of unnecessary stress due to poorly planned stops and lack of communication about road conditions and delivery instructions. I felt like I was constantly trying to figure things out on the fly, which pushed my stress level to an 8 out of 10. It shouldn't be this hard to get clear directions and support, especially when we're out on the road for that long. A little more organization and timely updates would go a long way in making our jobs easier and safer.|1|2024-02-24 19:47:40
48|3|13|1|1|I just wrapped up route 13, which took me a grueling 19 hours, and while I made the delivery on time, I need to voice some serious frustrations with the Human Resources department. I've been experiencing ongoing communication issues that make it really tough to get the support I need when problems arise. I feel like my concerns are often brushed aside, and it’s really affecting my morale on the job. I don’t think it’s too much to ask for a little more responsiveness and support from HR, especially considering the high stress level I deal with on the road, which was a solid 7.3 out of 10 this time. I just want to feel like my voice matters and that HR is actually there for us drivers when we need them.|1|2024-02-27 03:07:39
49|3|13|1|1|I need to voice my frustration with the Finance department after my recent trip on route 13, which took an exhausting 17.69 hours and ended up being late. Not only did I face an outrageous stress level of over 11 during the drive, but I also experienced an assault that left me feeling unsafe and shaken. The overall trouble score for this trip was a staggering 8.07 out of 10, and it's clear that the Finance department’s lack of support and oversight is contributing to these issues. It’s unacceptable that while we’re out here risking our safety and well-being, the financial side of things seems completely out of touch and unresponsive to the realities we face on the road.|1|2024-03-07 03:18:46
50|3|2|1|1|I just wrapped up route 2, which took me 7.41 hours, and I need to address some serious issues I faced with the Finance department. Despite delivering on time, I’ve noticed some discrepancies in my pay that just don’t add up, leaving me feeling frustrated and undervalued after putting in hard work. The communication regarding reimbursements has been really lacking, and it seems like no one is on the same page, which is adding unnecessary stress to an already demanding job. Honestly, with my stress level hitting almost a 9 out of 10 during the trip, I expected a smoother process on the financial side of things. It’s high time these issues get sorted out because they’re really affecting morale.|1|2024-03-08 08:55:49
51|3|2|1|1|I’m writing to express my frustration with the Human Resources department regarding the lack of support and communication I’ve experienced lately. After completing Route 2 in just under 6.8 hours, I was expecting a smoother process, but instead, I found myself dealing with unresponsive HR staff when I had questions about my pay and benefits. It’s really stressful when you’re out on the road, trying to focus on driving, and you can’t get any answers about important issues. I’ve got over five years of experience, but this lack of attention from HR is really making me reconsider my place here. I hope you can understand the impact this has on our overall morale and work environment.|1|2024-03-10 07:01:23
52|3|18|1|1|I just wrapped up route 18, and I’ve got to say, I’m really frustrated with how things went down. Not only was I late on delivery, which is just unacceptable, but I also faced an assault during the trip. I felt on edge the entire time, with my stress level hitting 13 out of 10, and the overall trouble score was a solid 8. This kind of environment is not what I signed up for, and I think the Operations department needs to step up and address these serious issues before someone really gets hurt or we lose more deliveries. This isn’t just about me; it’s about every driver out there trying to do their job safely.|1|2024-03-12 12:08:59
53|3|13|1|1|I just wrapped up Route 13, and honestly, I need to vent about some serious issues with the Operations department. While I managed to deliver on time, the entire trip took an exhausting 16.5 hours, and the stress level was off the charts—like a solid 11 out of 10. The lack of proper route planning led to unexpected delays at several checkpoints, and the communication from the office was practically non-existent when I needed updates on the road. It felt like I was driving blind, and that’s not cool. I've been driving for five years now, and this kind of disorganization is making my job way more stressful than it needs to be. We need better support out there!|1|2024-03-17 14:17:03
54|3|13|1|1|I just wrapped up route 13, and I have to say I'm pretty frustrated with the Operations department. While I managed to deliver on time, the whole trip was riddled with problems that really ramped up my stress levels to nearly a 10. The directions were unclear, which led me to waste time trying to find the right drop-off point, and I had to deal with a last-minute change in the loading schedule that left me waiting around for nearly an hour. It felt like no one was communicating effectively, and that lack of organization made an already long trip (over 14 hours!) even more taxing. I appreciate the work everyone does, but we need better coordination and clearer instructions to keep things running smoothly.|1|2024-03-26 06:58:21
55|3|14|1|1|I just wrapped up route 14, and while the delivery went off without a hitch and was on time, I’ve got some serious beef with the Finance department. After a grueling 20.5-hour drive, I expected my compensation to reflect the hard work I put in, but I noticed discrepancies in my pay that just don’t add up. It's frustrating to feel like I’m not being properly recognized for my time and effort, especially when I stressfully navigated the roads with a high stress level of 8.3 out of 10. This isn't the first time I've run into issues with pay, and it's really starting to get on my nerves. I’d appreciate a prompt review and correction of my pay, so I can focus on my job without this added headache.|1|2024-03-30 23:54:52
56|3|14|1|1|Hey there, I just wrapped up route 14, which took me nearly 19 hours, and I have to say I'm really frustrated with the Finance department. Despite delivering on time and having a relatively low stress level during the trip, I've noticed some discrepancies in my pay that just don’t add up. It seems like my overtime hours and some expenses incurred on the trip are missing from the calculations, and it’s not the first time this has happened. I’ve tried to reach out for clarification but haven’t received a proper response. This is really affecting my trust in the system, and I’d appreciate a quick resolution to this issue. Thanks!|1|2024-04-03 05:39:38
57|3|2|1|1|I’m writing to express my frustration with the Human Resources department following my recent trip on route 2, which took me 6.81 hours but was not delivered on time. The stress level during the trip was off the charts at 12.35/10, and to top it all off, I experienced an assault that left me shaken and feeling unsafe. Honestly, this is beyond ridiculous—my overall trouble score is sitting at 8.16/10, and I feel like HR is not taking these serious concerns into account. I need support and reassurance from HR, but instead, it feels like my concerns are falling on deaf ears.|1|2024-05-31 15:47:29
58|3|14|1|1|I just finished route 14, which took me over 16 hours, and I need to voice my frustration with the Human Resources department. While I managed to deliver on time without any major incidents, the stress level I experienced was through the roof—almost an 11 out of 10! The lack of support and communication from HR has been really disheartening; it feels like there’s no one to turn to when issues arise, which only adds to the stress of the job. I’ve raised concerns before, but it feels like they go unheard, and I genuinely believe that better support from HR could make a world of difference for drivers like me. It’s time for some real improvements!|1|2024-06-01 13:18:42
